episode,step,action,reward,total_reward
0,0,1,-0.01,-0.01
0,1,4,-0.01,-0.02
0,2,1,0.2,0.18000000000000002
0,3,3,-0.01,0.17
0,4,4,-0.01,0.16
0,5,4,-0.01,0.15
0,6,4,-0.01,0.13999999999999999
0,7,4,-0.01,0.12999999999999998
0,8,4,-0.01,0.11999999999999998
0,9,1,-0.01,0.10999999999999999
0,10,0,-0.01,0.09999999999999999
0,11,4,-0.01,0.09
0,12,4,-0.01,0.08
0,13,0,-0.01,0.07
0,14,4,-0.01,0.060000000000000005
0,15,2,-0.01,0.05
0,16,1,-0.01,0.04
0,17,0,-0.01,0.03
0,18,1,-0.01,0.019999999999999997
0,19,4,-0.01,0.009999999999999997
0,20,2,-0.01,-3.469446951953614e-18
0,21,4,-0.01,-0.010000000000000004
0,22,2,-0.01,-0.020000000000000004
0,23,3,-0.01,-0.030000000000000006
0,24,4,-0.01,-0.04000000000000001
0,25,4,-0.01,-0.05000000000000001
0,26,4,-0.01,-0.06000000000000001
0,27,2,-0.01,-0.07
0,28,3,-0.01,-0.08
0,29,4,-0.01,-0.09
0,30,4,-0.01,-0.09999999999999999
0,31,3,-0.01,-0.10999999999999999
0,32,4,-0.01,-0.11999999999999998
0,33,3,-0.01,-0.12999999999999998
0,34,2,-0.01,-0.13999999999999999
0,35,2,-0.01,-0.15
0,36,2,-0.01,-0.16
0,37,4,-0.01,-0.17
0,38,1,0.2,0.03
0,39,4,0.5,0.53
0,40,2,0.2,0.73
0,41,4,-0.01,0.72
0,42,0,-0.01,0.71
0,43,0,-0.01,0.7
0,44,4,-0.01,0.69
0,45,4,-0.01,0.6799999999999999
0,46,1,-0.01,0.6699999999999999
0,47,3,-0.01,0.6599999999999999
0,48,2,-0.01,0.6499999999999999
0,49,4,-0.01,0.6399999999999999
0,50,3,-0.01,0.6299999999999999
0,51,4,-0.01,0.6199999999999999
0,52,4,-0.01,0.6099999999999999
0,53,4,-0.01,0.5999999999999999
0,54,0,-0.01,0.5899999999999999
0,55,3,0.2,0.7899999999999998
0,56,0,0.2,0.9899999999999998
0,57,2,-0.01,0.9799999999999998
0,58,4,-0.01,0.9699999999999998
0,59,0,-0.01,0.9599999999999997
0,60,0,-0.01,0.9499999999999997
0,61,3,0.2,1.1499999999999997
0,62,0,0.2,1.3499999999999996
0,63,0,0.2,1.5499999999999996
0,64,4,1.0,2.55
1,0,0,-0.01,-0.01
1,1,4,-0.01,-0.02
1,2,4,-0.01,-0.03
1,3,4,-0.01,-0.04
1,4,3,-0.01,-0.05
1,5,4,-0.01,-0.060000000000000005
1,6,2,-0.01,-0.07
1,7,1,-0.01,-0.08
1,8,4,-0.01,-0.09
1,9,4,-0.01,-0.09999999999999999
1,10,3,-0.01,-0.10999999999999999
1,11,0,-0.01,-0.11999999999999998
1,12,0,-0.01,-0.12999999999999998
1,13,2,-0.01,-0.13999999999999999
1,14,1,-0.01,-0.15
1,15,0,-0.01,-0.16
1,16,3,-0.01,-0.17
1,17,3,0.2,0.03
1,18,4,-1.0,-0.97
2,0,0,-0.01,-0.01
2,1,2,-0.01,-0.02
2,2,4,-0.01,-0.03
2,3,2,-0.01,-0.04
2,4,0,-0.01,-0.05
2,5,0,-0.01,-0.060000000000000005
2,6,2,-0.01,-0.07
2,7,2,-0.01,-0.08
2,8,0,-0.01,-0.09
2,9,4,-0.01,-0.09999999999999999
2,10,4,-0.01,-0.10999999999999999
2,11,3,-0.01,-0.11999999999999998
2,12,3,0.2,0.08000000000000003
2,13,4,-1.0,-0.9199999999999999
3,0,4,-0.01,-0.01
3,1,0,-0.01,-0.02
3,2,2,-0.01,-0.03
3,3,4,-0.01,-0.04
3,4,0,-0.01,-0.05
3,5,4,-0.01,-0.060000000000000005
3,6,4,-0.01,-0.07
3,7,2,-0.01,-0.08
3,8,4,-0.01,-0.09
3,9,4,-0.01,-0.09999999999999999
3,10,3,-0.01,-0.10999999999999999
3,11,4,-0.01,-0.11999999999999998
3,12,4,-0.01,-0.12999999999999998
3,13,4,-0.01,-0.13999999999999999
3,14,2,-0.01,-0.15
3,15,4,-0.01,-0.16
3,16,2,-0.01,-0.17
3,17,4,-0.01,-0.18000000000000002
3,18,1,-0.01,-0.19000000000000003
3,19,1,0.2,0.009999999999999981
3,20,0,-0.01,-1.9081958235744878e-17
3,21,4,-0.01,-0.01000000000000002
3,22,4,-0.01,-0.020000000000000018
3,23,2,-0.01,-0.03000000000000002
3,24,4,-0.01,-0.04000000000000002
3,25,0,-0.01,-0.050000000000000024
3,26,4,-0.01,-0.060000000000000026
3,27,2,-0.01,-0.07000000000000002
3,28,4,-0.01,-0.08000000000000002
3,29,0,-0.01,-0.09000000000000001
3,30,0,-0.01,-0.1
3,31,4,-0.01,-0.11
3,32,0,-0.01,-0.12
3,33,3,-0.01,-0.13
3,34,2,-0.01,-0.14
3,35,2,-0.01,-0.15000000000000002
3,36,0,-0.01,-0.16000000000000003
3,37,4,-0.01,-0.17000000000000004
3,38,3,-0.01,-0.18000000000000005
3,39,4,-0.01,-0.19000000000000006
3,40,4,-0.01,-0.20000000000000007
3,41,4,-0.01,-0.21000000000000008
3,42,4,-0.01,-0.22000000000000008
3,43,4,-0.01,-0.2300000000000001
3,44,0,-0.01,-0.2400000000000001
3,45,2,-0.01,-0.2500000000000001
3,46,0,-0.01,-0.2600000000000001
3,47,0,-0.01,-0.27000000000000013
3,48,3,-0.01,-0.28000000000000014
3,49,2,-0.01,-0.29000000000000015
3,50,4,-0.01,-0.30000000000000016
3,51,4,-0.01,-0.31000000000000016
3,52,2,-0.01,-0.3200000000000002
3,53,2,-0.01,-0.3300000000000002
3,54,1,-0.01,-0.3400000000000002
3,55,1,0.2,-0.14000000000000018
3,56,3,-0.01,-0.1500000000000002
3,57,2,0.2,0.04999999999999982
3,58,4,0.5,0.5499999999999998
3,59,2,0.2,0.7499999999999998
3,60,2,0.2,0.9499999999999997
3,61,0,-0.01,0.9399999999999997
3,62,4,-0.01,0.9299999999999997
3,63,4,-0.01,0.9199999999999997
3,64,0,-0.01,0.9099999999999997
3,65,0,-0.01,0.8999999999999997
3,66,3,-0.01,0.8899999999999997
3,67,2,-0.01,0.8799999999999997
3,68,1,-0.01,0.8699999999999997
3,69,3,-0.01,0.8599999999999997
3,70,4,-0.01,0.8499999999999996
3,71,1,-0.01,0.8399999999999996
3,72,3,-0.01,0.8299999999999996
3,73,1,-0.01,0.8199999999999996
3,74,4,-0.01,0.8099999999999996
3,75,0,-0.01,0.7999999999999996
3,76,1,-0.01,0.7899999999999996
3,77,0,-0.01,0.7799999999999996
3,78,2,-0.01,0.7699999999999996
3,79,0,-0.01,0.7599999999999996
3,80,3,-0.01,0.7499999999999996
3,81,4,-0.01,0.7399999999999995
3,82,4,-0.01,0.7299999999999995
3,83,2,-0.01,0.7199999999999995
3,84,2,-0.01,0.7099999999999995
3,85,3,-0.01,0.6999999999999995
3,86,4,-0.01,0.6899999999999995
3,87,4,-0.01,0.6799999999999995
3,88,1,-0.01,0.6699999999999995
3,89,2,-0.01,0.6599999999999995
3,90,2,-0.01,0.6499999999999995
3,91,0,-0.01,0.6399999999999995
3,92,1,-0.01,0.6299999999999994
3,93,3,-0.01,0.6199999999999994
3,94,4,-0.01,0.6099999999999994
3,95,4,-0.01,0.5999999999999994
3,96,4,-0.01,0.5899999999999994
3,97,0,-0.01,0.5799999999999994
3,98,4,-0.01,0.5699999999999994
3,99,4,-1.0,-0.4300000000000006
4,0,3,-0.01,-0.01
4,1,4,-0.01,-0.02
4,2,3,0.2,0.18000000000000002
4,3,0,0.2,0.38
4,4,4,-1.0,-0.62
